tanggal,Sentiment_Score
2017-04-11,-0.5
2017-04-12,0.2
2017-04-13,-0.5
2017-04-18,1.0
2017-04-20,0.0
2017-04-21,0.5
2017-04-25,1.0
2017-04-27,-1.0
2017-04-28,-0.3333333333333333
2017-05-02,0.3333333333333333
2017-05-03,-0.3333333333333333
2017-05-04,0.0
2017-05-08,1.0
2017-05-09,0.0
2017-05-10,-0.3333333333333333
2017-05-12,0.0
2017-05-15,-0.5
2017-05-17,-1.0
2017-05-18,0.3333333333333333
2017-05-19,0.3333333333333333
2017-05-22,1.0
2017-05-23,-1.0
2017-05-26,1.0
2017-05-29,-0.5
2017-05-30,-0.3333333333333333
2017-05-31,0.3333333333333333
2017-06-02,0.0
2017-06-05,1.0
2017-06-06,-1.0
2017-06-07,1.0
2017-06-08,-0.3333333333333333
2017-06-09,-1.0
2017-06-12,0.0
2017-06-13,1.0
2017-06-14,1.0
2017-06-15,-1.0
2017-06-16,0.3333333333333333
2017-06-19,1.0
2017-06-20,1.0
2017-06-22,-1.0
2017-07-03,1.0
2017-07-04,-0.6666666666666666
2017-07-05,-1.0
2017-07-06,-1.0
2017-07-07,-1.0
2017-07-10,-1.0
2017-07-11,0.0
2017-07-12,1.0
2017-07-13,-0.3333333333333333
2017-07-14,0.0
2017-07-17,0.0
2017-07-19,-1.0
2017-07-20,0.0
2017-07-24,-1.0
2017-07-25,1.0
2017-07-26,1.0
2017-07-27,1.0
2017-07-28,1.0
2017-08-01,-1.0
2017-08-02,0.3333333333333333
2017-08-03,-1.0
2017-08-04,-1.0
2017-08-07,1.0
2017-08-08,-1.0
2017-08-09,1.0
2017-08-14,1.0
2017-08-15,1.0
2017-08-16,1.0
2017-08-18,-1.0
2017-09-05,1.0
2017-09-06,1.0
2017-09-07,1.0
2017-09-08,1.0
2017-09-11,1.0
2017-09-12,1.0
2017-09-13,-1.0
2017-09-15,1.0
2017-09-16,1.0
2017-09-18,0.0
2017-09-19,1.0
2017-09-22,1.0
2017-09-25,0.0
2017-09-29,1.0
2017-09-30,0.0
2017-10-04,1.0
2017-10-05,-1.0
2017-10-06,-1.0
2017-10-09,-1.0
2017-10-10,-1.0
2017-10-11,-1.0
2017-10-12,0.0
2017-10-13,1.0
2017-10-17,1.0
2017-10-19,-1.0
2017-10-20,1.0
2017-10-23,1.0
2017-10-24,1.0
2017-10-25,-1.0
2017-11-01,-1.0
2017-11-03,1.0
2017-11-06,0.5
2017-11-07,1.0
2017-11-08,1.0
2017-11-09,1.0
2017-11-14,-1.0
2017-11-15,-1.0
2017-12-18,1.0
2017-12-19,1.0
2017-12-21,1.0
2017-12-22,1.0
2017-12-26,1.0
2017-12-28,1.0
2017-12-29,1.0
2018-01-02,1.0
2018-01-15,1.0
2018-01-17,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-30,1.0
2018-02-23,-1.0
2018-03-07,-1.0
2018-03-12,1.0
2018-03-13,-1.0
2018-03-16,-1.0
2018-03-23,1.0
2018-04-17,-1.0
2018-04-25,-1.0
2018-04-26,-0.5
2018-04-27,-1.0
2018-05-08,-1.0
2018-05-09,1.0
2018-05-14,0.0
2018-05-15,-1.0
2018-05-25,1.0
2018-05-28,1.0
2018-05-31,-1.0
2018-06-06,1.0
2018-06-11,-1.0
2018-06-20,-1.0
2018-06-21,0.0
2018-06-22,-1.0
2018-06-25,0.0
2018-06-26,1.0
2018-06-27,1.0
2018-06-28,-1.0
2018-06-29,1.0
2018-07-02,1.0
2018-07-16,1.0
2018-07-19,-1.0
2018-07-20,-1.0
2018-07-27,1.0
2018-07-30,1.0
2018-07-31,-1.0
2018-08-10,1.0
