Date,Close,Open,High,Low,Volume,Change%
19/03/2018,6289.57,6315.33,6319.65,6277.76,"7,77B","-0,24%"
20/03/2018,6243.58,6266.58,6271.72,6207.17,"7,67B","-0,73%"
21/03/2018,6312.83,6260.19,6315.07,6260.07,"9,24B","1,11%"
22/03/2018,6254.07,6331.98,6351.31,6252.98,"7,80B","-0,93%"
23/03/2018,6210.7,6138.11,6210.7,6085.2,"7,55B","-0,69%"
26/03/2018,6200.17,6178.73,6205.57,6167.34,"6,21B","-0,17%"
27/03/2018,6209.35,6246.23,6274.3,6188.61,"7,09B","0,15%"
28/03/2018,6140.84,6195.48,6197.01,6116.89,"6,14B","-1,10%"
29/03/2018,6188.99,6153.65,6188.99,6101.77,"5,92B","0,78%"
02/04/2018,6240.57,6194.51,6240.57,6168.37,"5,90B","0,83%"
03/04/2018,6229.01,6212.77,6234.57,6202.13,"6,18B","-0,19%"
04/04/2018,6157.1,6240.98,6250.14,6137.16,"7,27B","-1,15%"
05/04/2018,6183.23,6194.1,6211.87,6176.7,"6,21B","0,42%"
06/04/2018,6175.05,6184.87,6192.42,6165.2,"5,97B","-0,13%"
09/04/2018,6246.13,6179.38,6246.13,6178.18,"6,43B","1,15%"
10/04/2018,6325.82,6244.35,6334.47,6243.0,"6,39B","1,28%"
11/04/2018,6360.93,6352.6,6380.35,6349.64,"7,27B","0,56%"
12/04/2018,6310.8,6351.05,6356.15,6289.86,"6,51B","-0,79%"
13/04/2018,6270.33,6322.95,6335.2,6270.33,"5,58B","-0,64%"
16/04/2018,6286.75,6279.63,6305.03,6262.24,"5,70B","0,26%"
17/04/2018,6285.76,6290.86,6303.97,6259.59,"9,24B","-0,02%"
18/04/2018,6320.01,6302.98,6320.01,6297.95,"7,97B","0,54%"
19/04/2018,6355.9,6321.22,6355.9,6319.58,"7,50B","0,57%"
20/04/2018,6337.69,6356.0,6360.32,6314.2,"6,02B","-0,29%"
23/04/2018,6308.15,6328.65,6335.45,6298.38,"6,21B","-0,47%"
24/04/2018,6229.64,6313.72,6316.7,6225.55,"5,86B","-1,24%"
25/04/2018,6079.85,6219.76,6220.04,6070.79,"5,84B","-2,40%"
26/04/2018,5909.2,6080.38,6089.1,5894.15,"6,77B","-2,81%"
27/04/2018,5919.24,5968.88,5997.5,5885.34,"5,52B","0,17%"
30/04/2018,5994.6,5937.07,6005.88,5936.53,"5,92B","1,27%"
02/05/2018,6012.24,5999.36,6012.94,5970.4,"6,78B","0,29%"
03/05/2018,5858.73,5990.16,5996.49,5858.73,"6,11B","-2,55%"
04/05/2018,5792.35,5849.31,5855.11,5768.38,"5,24B","-1,13%"
07/05/2018,5885.1,5814.96,5885.1,5808.19,"5,29B","1,60%"
08/05/2018,5774.72,5862.78,5866.08,5752.8,"5,78B","-1,88%"
09/05/2018,5907.94,5734.18,5917.82,5716.65,"6,63B","2,31%"
11/05/2018,5956.83,5923.09,6023.04,5921.19,"6,68B","0,83%"
14/05/2018,5947.15,5933.46,5947.15,5853.44,"5,62B","-0,16%"
15/05/2018,5838.12,5926.08,5940.42,5833.64,"6,45B","-1,83%"
16/05/2018,5841.46,5780.88,5841.46,5738.58,"6,23B","0,06%"
17/05/2018,5815.92,5854.87,5898.3,5815.92,"6,74B","-0,44%"
18/05/2018,5783.31,5831.05,5843.45,5783.31,"5,55B","-0,56%"
21/05/2018,5733.85,5779.24,5786.39,5719.48,"6,37B","-0,86%"
22/05/2018,5751.12,5767.63,5813.43,5751.12,"6,74B","0,30%"
23/05/2018,5792.0,5764.42,5850.54,5764.31,"6,06B","0,71%"
24/05/2018,5946.54,5833.62,5954.31,5833.35,"7,15B","2,67%"
25/05/2018,5975.74,5957.43,6003.24,5949.52,"5,87B","0,49%"
28/05/2018,6068.32,5979.62,6080.51,5977.0,"6,68B","1,55%"
30/05/2018,6011.06,6037.43,6095.83,6001.8,"7,70B","-0,94%"
31/05/2018,5983.59,6037.26,6055.02,5934.8,"9,19B","-0,46%"
04/06/2018,6014.82,6004.12,6032.99,6001.2,"7,79B","0,52%"
05/06/2018,6088.79,6031.37,6088.79,6025.56,"7,12B","1,23%"
06/06/2018,6069.71,6083.92,6096.72,6063.34,"6,84B","-0,31%"
07/06/2018,6106.7,6090.98,6116.43,6077.86,"6,11B","0,61%"
08/06/2018,5993.63,6083.33,6096.66,5987.33,"5,40B","-1,85%"
20/06/2018,5884.04,5941.79,5947.78,5834.14,"6,24B","-1,83%"
21/06/2018,5822.33,5890.06,5922.7,5815.45,"5,14B","-1,05%"
22/06/2018,5821.81,5820.19,5837.65,5787.68,"5,88B","-0,01%"
25/06/2018,5859.08,5850.31,5891.48,5801.59,"5,49B","0,64%"
26/06/2018,5825.65,5831.6,5878.04,5820.75,"5,91B","-0,57%"
27/06/2018,5787.55,5832.59,5859.6,5787.55,"5,56B","-0,65%"
28/06/2018,5667.32,5791.58,5801.35,5661.01,"6,01B","-2,08%"
29/06/2018,5799.24,5691.69,5799.24,5682.66,"6,53B","2,33%"
02/07/2018,5746.77,5828.49,5832.22,5746.77,"4,80B","-0,90%"
03/07/2018,5633.94,5737.35,5752.32,5630.1,"4,96B","-1,96%"
04/07/2018,5733.64,5640.56,5738.93,5557.56,"5,66B","1,77%"
05/07/2018,5739.33,5727.91,5739.33,5685.75,"5,17B","0,10%"
06/07/2018,5694.91,5733.13,5743.36,5694.91,"4,63B","-0,77%"
09/07/2018,5807.38,5719.86,5815.45,5716.39,"5,27B","1,97%"
10/07/2018,5881.76,5839.04,5888.59,5829.68,"5,38B","1,28%"
11/07/2018,5893.36,5842.99,5897.96,5822.75,"6,24B","0,20%"
12/07/2018,5907.87,5873.05,5931.52,5873.05,"5,70B","0,25%"
13/07/2018,5944.07,5908.48,5961.34,5908.48,"5,49B","0,61%"
16/07/2018,5905.16,5941.91,5956.8,5847.34,"4,65B","-0,65%"
17/07/2018,5861.51,5881.79,5884.8,5840.94,"5,25B","-0,74%"
18/07/2018,5890.73,5868.87,5899.65,5858.98,"6,90B","0,50%"
19/07/2018,5871.08,5902.03,5920.93,5857.14,"6,15B","-0,33%"
20/07/2018,5872.78,5867.81,5884.63,5842.93,"5,61B","0,03%"
23/07/2018,5915.8,5886.52,5928.08,5884.98,"5,19B","0,73%"
24/07/2018,5931.84,5934.41,5945.85,5925.05,"5,94B","0,27%"
25/07/2018,5933.89,5941.13,5947.5,5923.2,"8,41B","0,03%"
26/07/2018,5946.14,5949.66,5967.6,5928.74,"8,24B","0,21%"
27/07/2018,5989.14,5947.36,5992.05,5947.06,"6,56B","0,72%"
30/07/2018,6027.94,5998.1,6027.94,5994.08,"7,22B","0,65%"
31/07/2018,5936.44,6012.93,6013.86,5910.53,"8,65B","-1,52%"
01/08/2018,6033.42,5952.94,6034.55,5945.44,"5,99B","1,63%"
