Date,Close(t-10),Open(t-10),High(t-10),Low(t-10),Sentiment_Score(t-10),Close(t-9),Open(t-9),High(t-9),Low(t-9),Sentiment_Score(t-9),Close(t-8),Open(t-8),High(t-8),Low(t-8),Sentiment_Score(t-8),Close(t-7),Open(t-7),High(t-7),Low(t-7),Sentiment_Score(t-7),Close(t-6),Open(t-6),High(t-6),Low(t-6),Sentiment_Score(t-6),Close(t-5),Open(t-5),High(t-5),Low(t-5),Sentiment_Score(t-5),Close(t-4),Open(t-4),High(t-4),Low(t-4),Sentiment_Score(t-4),Close(t-3),Open(t-3),High(t-3),Low(t-3),Sentiment_Score(t-3),Close(t-2),Open(t-2),High(t-2),Low(t-2),Sentiment_Score(t-2),Close(t-1),Open(t-1),High(t-1),Low(t-1),Sentiment_Score(t-1),Close(t),Open(t),High(t),Low(t),Sentiment_Score(t)
2021-06-03,5834.39,5836.08,5855.67,5782.78,0.0,5760.58,5817.14,5828.21,5752.26,-0.3333333333333333,5797.6,5759.63,5814.78,5751.34,0.0,5773.12,5824.11,5838.23,5742.04,-1.0,5763.63,5793.07,5805.15,5759.34,-1.0,5815.84,5772.94,5848.55,5769.29,1.0,5841.83,5850.5,5904.84,5841.83,1.0,5848.62,5875.27,5891.47,5833.34,1.0,5947.46,5869.22,5947.46,5860.54,1.0,6031.58,6002.48,6031.58,5991.51,1.0,6091.51,6038.86,6091.51,6005.64,1.0
2021-06-04,5760.58,5817.14,5828.21,5752.26,-0.3333333333333333,5797.6,5759.63,5814.78,5751.34,0.0,5773.12,5824.11,5838.23,5742.04,-1.0,5763.63,5793.07,5805.15,5759.34,-1.0,5815.84,5772.94,5848.55,5769.29,1.0,5841.83,5850.5,5904.84,5841.83,1.0,5848.62,5875.27,5891.47,5833.34,1.0,5947.46,5869.22,5947.46,5860.54,1.0,6031.58,6002.48,6031.58,5991.51,1.0,6091.51,6038.86,6091.51,6005.64,1.0,6065.17,6091.13,6103.86,6043.86,1.0
2021-06-07,5797.6,5759.63,5814.78,5751.34,0.0,5773.12,5824.11,5838.23,5742.04,-1.0,5763.63,5793.07,5805.15,5759.34,-1.0,5815.84,5772.94,5848.55,5769.29,1.0,5841.83,5850.5,5904.84,5841.83,1.0,5848.62,5875.27,5891.47,5833.34,1.0,5947.46,5869.22,5947.46,5860.54,1.0,6031.58,6002.48,6031.58,5991.51,1.0,6091.51,6038.86,6091.51,6005.64,1.0,6065.17,6091.13,6103.86,6043.86,1.0,6069.94,6075.51,6088.0,6050.8,1.0
2021-06-08,5773.12,5824.11,5838.23,5742.04,-1.0,5763.63,5793.07,5805.15,5759.34,-1.0,5815.84,5772.94,5848.55,5769.29,1.0,5841.83,5850.5,5904.84,5841.83,1.0,5848.62,5875.27,5891.47,5833.34,1.0,5947.46,5869.22,5947.46,5860.54,1.0,6031.58,6002.48,6031.58,5991.51,1.0,6091.51,6038.86,6091.51,6005.64,1.0,6065.17,6091.13,6103.86,6043.86,1.0,6069.94,6075.51,6088.0,6050.8,1.0,5999.37,6071.25,6075.89,5992.12,1.0
2021-06-09,5763.63,5793.07,5805.15,5759.34,-1.0,5815.84,5772.94,5848.55,5769.29,1.0,5841.83,5850.5,5904.84,5841.83,1.0,5848.62,5875.27,5891.47,5833.34,1.0,5947.46,5869.22,5947.46,5860.54,1.0,6031.58,6002.48,6031.58,5991.51,1.0,6091.51,6038.86,6091.51,6005.64,1.0,6065.17,6091.13,6103.86,6043.86,1.0,6069.94,6075.51,6088.0,6050.8,1.0,5999.37,6071.25,6075.89,5992.12,1.0,6047.48,5973.04,6047.48,5972.45,0.0
2021-06-10,5815.84,5772.94,5848.55,5769.29,1.0,5841.83,5850.5,5904.84,5841.83,1.0,5848.62,5875.27,5891.47,5833.34,1.0,5947.46,5869.22,5947.46,5860.54,1.0,6031.58,6002.48,6031.58,5991.51,1.0,6091.51,6038.86,6091.51,6005.64,1.0,6065.17,6091.13,6103.86,6043.86,1.0,6069.94,6075.51,6088.0,6050.8,1.0,5999.37,6071.25,6075.89,5992.12,1.0,6047.48,5973.04,6047.48,5972.45,0.0,6107.54,6065.93,6111.45,6064.93,1.0
2021-06-11,5841.83,5850.5,5904.84,5841.83,1.0,5848.62,5875.27,5891.47,5833.34,1.0,5947.46,5869.22,5947.46,5860.54,1.0,6031.58,6002.48,6031.58,5991.51,1.0,6091.51,6038.86,6091.51,6005.64,1.0,6065.17,6091.13,6103.86,6043.86,1.0,6069.94,6075.51,6088.0,6050.8,1.0,5999.37,6071.25,6075.89,5992.12,1.0,6047.48,5973.04,6047.48,5972.45,0.0,6107.54,6065.93,6111.45,6064.93,1.0,6095.5,6118.38,6134.88,6084.24,1.0
2021-06-14,5848.62,5875.27,5891.47,5833.34,1.0,5947.46,5869.22,5947.46,5860.54,1.0,6031.58,6002.48,6031.58,5991.51,1.0,6091.51,6038.86,6091.51,6005.64,1.0,6065.17,6091.13,6103.86,6043.86,1.0,6069.94,6075.51,6088.0,6050.8,1.0,5999.37,6071.25,6075.89,5992.12,1.0,6047.48,5973.04,6047.48,5972.45,0.0,6107.54,6065.93,6111.45,6064.93,1.0,6095.5,6118.38,6134.88,6084.24,1.0,6080.38,6110.8,6124.87,6071.73,0.3333333333333333
2021-06-15,5947.46,5869.22,5947.46,5860.54,1.0,6031.58,6002.48,6031.58,5991.51,1.0,6091.51,6038.86,6091.51,6005.64,1.0,6065.17,6091.13,6103.86,6043.86,1.0,6069.94,6075.51,6088.0,6050.8,1.0,5999.37,6071.25,6075.89,5992.12,1.0,6047.48,5973.04,6047.48,5972.45,0.0,6107.54,6065.93,6111.45,6064.93,1.0,6095.5,6118.38,6134.88,6084.24,1.0,6080.38,6110.8,6124.87,6071.73,0.3333333333333333,6089.04,6085.36,6091.37,6051.24,-0.3333333333333333
2021-06-16,6031.58,6002.48,6031.58,5991.51,1.0,6091.51,6038.86,6091.51,6005.64,1.0,6065.17,6091.13,6103.86,6043.86,1.0,6069.94,6075.51,6088.0,6050.8,1.0,5999.37,6071.25,6075.89,5992.12,1.0,6047.48,5973.04,6047.48,5972.45,0.0,6107.54,6065.93,6111.45,6064.93,1.0,6095.5,6118.38,6134.88,6084.24,1.0,6080.38,6110.8,6124.87,6071.73,0.3333333333333333,6089.04,6085.36,6091.37,6051.24,-0.3333333333333333,6078.57,6071.44,6114.1,6049.57,-0.3333333333333333
